id.orig_h,count
120.232.252.13,1
120.24.57.237,1
120.241.117.199,1
120.29.225.101,16
120.29.225.102,11
120.29.225.103,9
120.29.225.104,7
120.29.225.105,15
120.29.225.106,8
120.29.225.107,9
120.29.225.108,7
120.29.225.109,8
120.57.208.125,1
120.57.221.252,1
120.78.75.128,1
120.79.226.167,1
120.79.48.81,90
120.85.112.101,1
120.85.113.119,1
120.85.114.192,1
120.85.114.91,1
120.85.116.241,1
120.85.118.156,1
120.85.183.14,1
120.86.252.65,1
120.86.252.9,1
121.139.252.211,1
121.140.11.171,4
121.147.18.114,1
121.156.213.59,1
121.178.69.94,1
121.179.203.189,2
121.186.71.38,1
121.188.88.70,9
121.190.76.253,1
121.199.164.1,1
121.200.63.162,1
121.204.252.155,5
121.21.126.110,1
121.231.202.45,1
121.46.25.189,15
121.54.227.253,1
121.56.26.176,8
121.56.26.197,1
121.6.217.232,1
121.62.236.105,1
122.116.232.81,1
122.129.112.220,1
122.133.140.200,1
122.193.100.12,1
122.193.75.243,3
122.194.11.82,1
122.58.72.24,1
122.58.77.253,1
122.96.28.144,1
122.96.28.70,1
122.96.31.138,1
122.96.31.139,1
123.12.228.4,1
123.14.211.3,1
123.145.2.155,1
123.160.221.17,1
123.181.124.45,4
123.191.130.73,1
123.191.135.54,1
123.191.139.106,1
123.202.60.60,1
123.205.89.83,1
123.231.203.135,1
123.254.109.117,14
123.254.109.225,30
124.156.223.178,1
124.156.223.97,3
124.197.102.82,1
124.234.136.54,1
124.234.155.92,2
124.235.138.209,1
124.235.138.222,1
124.235.138.43,1
124.255.20.126,1
124.31.106.123,1
124.61.116.245,2
124.85.94.80,1
124.90.48.203,1
125.125.249.166,1
125.135.65.52,1
125.136.128.12,1
125.139.141.175,1
125.160.224.30,1
125.163.15.156,1
125.164.20.143,1
125.164.21.77,1
125.165.104.9,1
125.166.117.166,1
125.167.116.217,1
125.26.169.21,1
125.41.105.42,1
125.43.227.184,1
125.47.88.127,1
125.59.105.207,2
125.84.237.30,1
125.84.238.63,1
126.60.210.129,1
128.1.132.247,1
128.1.138.201,2
128.1.248.26,19
128.1.248.42,13
128.14.133.58,5
128.14.134.134,12
128.14.134.170,8
128.14.136.78,2
128.14.141.34,24
128.14.188.107,3
128.14.209.162,19
128.14.209.26,1
128.14.209.38,3
128.199.128.54,1
128.199.224.185,7
128.199.28.24,1
128.199.28.253,2
128.199.40.222,1
128.199.42.205,1
128.199.77.96,26
128.199.96.22,1
13.52.163.80,2
130.211.54.158,5
130.43.68.194,1
130.43.79.112,1
130.93.147.82,8
131.100.188.6,1
131.161.44.221,1
133.130.162.134,1
133.218.140.198,2
134.122.100.65,1
134.122.106.248,6
134.122.106.57,1
134.122.110.126,10
134.122.114.4,2
134.122.30.157,13
